SortOrder,State/Prov,Town,Site,year,State_Town_Yr,State_Town_Trap,Trap_Number,N_traps,Date_1May,Start_Day,Month,Region,Phenology,Latitude,Long,altitude,Days_of_ sampling,all_3_Pheno_periods,Log10_Tot_Biomass_Day,Log10_Nematocera_Day,Log10_Other Diptera_Day,Log10_Coleoptera_Day,Log10_Lepidoptera_Day,Log10_Hymenoptera_Day,Log10_Hemiptera_Day,Log10_Other_Unidentified_Day,Log10_Homoptera_Day,Mean_Temp,Max_Temp,MIN_Temp,Mean_WIND,Tot_Precip,Mean_Precip,Source_for_Weather,stn_id,stn_name,stn_latitude,stn_longitude,Total_Diptera,Nematocera (g),Other Diptera (g),Coleoptera (g),Lepidoptera (g),Araneae (g),Hymenoptera (g),Hemiptera (g),Homoptera,Orthoptera (g),total of Others (not Identified) (g),Neuroptera (g),Trichoptera,Odonata (g),Blattodea (Termites) (g),Thysanoptera,Psocoptera,Dermaptera (g),Plecoptera (g),Mecoptera (g),Isoptera (g),Ephemeroptera (g),Collembola (g),raphidioptera,Acari (mites),Megalaptura: Sialidae,Others -Not insects (FP),UnIdentified larvae,Notes,Lead_Contributors,Affliation
482,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,25,25,May,4_SE,,36.22,-81.785,809,3,,0.382,-1.436,0.18,-1.095,-1.959,-0.231,,,,19.7,26.1,15.5,22.3,19.31,6.44,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,4.647,0.107,4.54,0.238,0.03,0.121,1.76,,,,,,,,,,,,,0.126,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
483,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,28,28,May,4_SE,,36.22,-81.785,809,3,,0.148,,0.056,-1.101,-1.391,,,,,14.5,17.6,11,23.4,4.15,1.38,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,3.41,,3.41,0.235,0.119,0.156,,,,,,,,,,,,,,,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
484,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,31,31,May,4_SE,,36.22,-81.785,809,3,,0.044,-1.523,-0.191,-1.044,-1.046,-1.384,,,,14.6,20.8,7.4,15.1,0,0,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,2.017,0.087,1.93,0.268,0.267,0.113,0.121,,,,,,0.155,,,,,,,0.08,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
485,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,34,3,June,4_SE,,36.22,-81.785,809,3,,0.496,-1.201,0.351,-0.759,-0.621,-1.052,-0.993,,,18.8,24.5,13.1,19.8,0.05,0.02,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,6.916,0.186,6.73,0.519,0.715,0.341,0.263,0.302,,,,,,,,,,,,0.041,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
486,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,37,6,June,4_SE,,36.22,-81.785,809,3,,0.341,,0.051,-0.533,-0.336,-0.77,-1.319,,,20.3,25.9,16.1,14.4,11.85,3.95,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,3.37,,3.37,0.876,1.38,0.327,0.506,0.141,,,,,,,,,,,,0.053,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
487,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,40,9,June,4_SE,3. Ave hatch date,36.22,-81.785,809,3,,0.368,-1.778,0.189,-0.852,-0.528,-1.844,-1.006,,,19.8,24.6,16.7,15.7,19.68,6.56,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,4.677,0.047,4.63,0.419,0.887,0.264,0.04,0.293,,,,,,,,,,,,0.107,,,,,,0.012,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
488,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,43,12,June,4_SE,,36.22,-81.785,809,3,,0.502,-1.824,0.232,-0.415,-0.259,-0.631,-1.151,,,20.3,24.9,16.5,17.6,17.82,5.94,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,5.152,0.042,5.11,1.15,1.65,0.341,0.699,0.209,,,,,,,,,,,,0.027,,,,,,0.013,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
489,NC,Valle Crucis,NC_Siefferman_ASU,2021,NC_Valle Crucis_2021,NC_Valle Crucis_VC87,3,3,46,15,June,4_SE,,36.22,-81.785,809,3,,0.175,-1.986,-0.318,-0.724,-0.566,-0.911,-1.039,,,17.6,23.3,11.3,21.6,0,0,Visual Crossing Boone NC Stations,,"Boone NC Stations; https://www.visualcrossing.com/weather-history/boone,%20NC/metric/2021-05-09/2021-06-30",,,1.468,0.028,1.44,0.564,0.811,0.682,0.365,0.271,,,,,,,,,,,,0.032,,,,,,,,,,Lynn Siefferman,"Dept. of Biology, Appalachian State Univ."
490,ND,Jamestown,ND_Uvino_UJamestown,2020,ND_Jamestown_2020,ND_Jamestown_1,1,1,25,25,May,2_Central,2. Ave lay date,46.915,-98.717,423,3,all 3 periods,0.032,-0.556,-0.726,-1.721,-0.322,-1.692,,,,16.6,22.2,10.9,3.8,0.5,0.17,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,1.392,0.831,0.561,0.054,1.426,,0.058,,,,,,,,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
491,ND,Jamestown,ND_Uvino_UJamestown,2020,ND_Jamestown_2020,ND_Jamestown_1,1,1,45,14,June,2_Central,3. Ave hatch date,46.915,-98.717,423,3,all 3 periods,0.311,-1.481,0.249,-2.331,-1.523,-1.035,,,,23.5,30.8,16.3,7.8,0,0,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,5.413,0.096,5.317,0.011,0.087,0.038,0.274,,,,,,,0.014,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
492,ND,Jamestown,ND_Uvino_UJamestown,2020,ND_Jamestown_2020,ND_Jamestown_1,1,1,57,26,June,2_Central,4. Nestl. Day 12,46.915,-98.717,423,3,all 3 periods,0.273,-1.198,-0.061,-1.21,-0.468,-0.775,,,,24.5,32.4,16.5,5.4,0,0,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,2.791,0.187,2.604,0.182,1.019,0.024,0.501,,,,,,,0.807,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
493,ND,Jamestown,ND_Uvino_UJamestown,2021,ND_Jamestown_2021,ND_Jamestown_1,1,1,25,25,May,2_Central,2. Ave lay date,46.915,-98.717,423,3,all 3 periods,0.007,-0.886,-0.437,-1.886,-0.866,-0.631,-2.398,,-2.222,10.2,14.8,5.6,6.4,0.3,0.1,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,1.48,0.387,1.093,0.036,0.405,0.004,0.698,0.009,0.015,,,0.022,,0.081,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
494,ND,Jamestown,ND_Uvino_UJamestown,2021,ND_Jamestown_2021,ND_Jamestown_1,1,1,44,13,June,2_Central,3. Ave hatch date,46.915,-98.717,423,3,all 3 periods,-0.743,-1.558,-1.313,-2.331,,-2.632,,,-2.632,21.3,29.8,12.8,4.1,0,0,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,0.223,0.08,0.143,0.011,,,0.004,,0.004,,,,,,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
495,ND,Jamestown,ND_Uvino_UJamestown,2021,ND_Jamestown_2021,ND_Jamestown_1,1,1,56,25,June,2_Central,4. Nestl. Day 12,46.915,-98.717,423,3,all 3 periods,-0.421,-0.924,-1.176,-1.651,-1.473,-1.518,,,-2.523,21.5,27,16,2.7,7.3,2.43,stn,USW00014919,JAMESTOWN MUNI AP,46.9258,-98.6692,0.551,0.354,0.197,0.064,0.098,,0.088,,0.006,,,0.014,,,,,,,,,,,,,,,,,,Kathleen Uvino,"Environ. Science, Univ.of Jamestown"
496,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Turkey Hill,1,4,20,20,May,3_NE,2. Ave lay date,42.441,-76.432,297,3,all 3 periods,0.163,-1.706,-0.769,-1.033,-1.62,-0.018,-1.254,,,22.5,28.9,15.4,2.6,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.564,0.056,0.508,0.275,0.069,0.048,2.873,0.164,,,,,,,,,,,0.0024,,,,,,,,0.069,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
497,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Turkey Hill,1,4,40,9,June,3_NE,3. Ave hatch date,42.441,-76.432,297,3,all 3 periods,-0.237,-2,-0.983,-1.638,-0.922,-0.858,-1.972,,,20.6,25.7,15.5,2.8,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.336,0.027,0.309,0.066,0.356,0.008,0.413,0.029,,0.2312,,,,,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
498,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Turkey Hill,1,4,52,21,June,3_NE,4. Nestl. Day 12,42.441,-76.432,297,3,all 3 periods,-0.346,-2.436,-1.127,-1.481,-1.671,-1.229,-1.066,,,17,22.6,11.5,3.6,4.6,1.53,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.229,0.008,0.221,0.096,0.061,,0.174,0.255,,0.227,,,0.009,,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
499,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 1,2,4,20,20,May,3_NE,2. Ave lay date,42.505,-76.467,343,3,all 3 periods,0.255,-1.614,-0.946,-1.563,-1.796,0.173,-1.959,,,23.4,31.3,15.6,2.8,0,0,stn,USW00054778,PENN YAN AP,42.6425,-77.0564,0.407,0.07,0.337,0.079,0.045,,4.465,0.03,,,,,0.0233,0.048,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
500,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 1,2,4,40,9,June,3_NE,3. Ave hatch date,42.505,-76.467,343,3,all 3 periods,-0.078,-2.097,-0.946,-1.579,-1.714,-0.419,-2.523,,,21.2,27.6,14.8,1.7,0,0,stn,USW00054778,PENN YAN AP,42.6425,-77.0564,0.358,0.021,0.337,0.076,0.055,0.074,1.139,0.006,,,,,0.018,0.479,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
501,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 1,2,4,52,21,June,3_NE,4. Nestl. Day 12,42.505,-76.467,343,3,all 3 periods,-0.388,-2.398,-1.284,-1.344,-1.469,-1.153,-2.778,,,18.2,24.1,12.4,3.4,3.5,1.17,stn,USW00054778,PENN YAN AP,42.6425,-77.0564,0.162,0.009,0.153,0.133,0.099,0.001,0.208,0.002,,,,,0.089,0.233,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
502,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 2,3,4,20,20,May,3_NE,2. Ave lay date,42.502,-76.437,346,3,all 3 periods,-0.307,-1.591,-1.159,-1.897,-1.586,-0.604,-2.247,,,22.5,28.9,15.4,2.6,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.279,0.074,0.205,0.035,0.0749,,0.744,0.014,,,,,,0.021,,,,,0.013,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
503,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 2,3,4,40,9,June,3_NE,3. Ave hatch date,42.502,-76.437,346,3,all 3 periods,-0.257,-1.959,-0.948,-1.057,-0.915,-1.139,-2.436,,,20.6,25.7,15.5,2.8,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.365,0.03,0.335,0.26,0.362,0.0935,0.215,0.008,,,,,0.041,0.016,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
504,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 2,3,4,52,21,June,3_NE,4. Nestl. Day 12,42.502,-76.437,346,3,all 3 periods,-0.368,-2.176,-1.699,-1.651,-0.835,-0.881,-2.301,,,17,22.6,11.5,3.6,4.6,1.53,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.074,0.017,0.057,0.064,0.436,,0.392,0.012,,,,,0.008,,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
505,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 4,4,4,20,20,May,3_NE,2. Ave lay date,42.463,-76.366,497,3,all 3 periods,0.161,-2.301,-0.742,-0.675,-0.315,-0.335,-1.972,,,22.5,28.9,15.4,2.6,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.552,0.012,0.54,0.631,1.449,,1.384,0.029,,,,,,,,,,,,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
506,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 4,4,4,40,9,June,3_NE,3. Ave hatch date,42.463,-76.366,497,3,all 3 periods,-0.033,-1.563,-0.785,-0.687,-0.641,-0.722,-1.844,,,20.6,25.7,15.5,2.8,0,0,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.568,0.079,0.489,0.614,0.683,,0.566,0.04,,0.007,,,0.0013,,,,,,0.0016,,,,,,,,,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
507,NY,Ithaca,NY_Uehling_Cornell,2021,NY_Ithaca_2021,NY_Ithaca_Unit 4,4,4,52,21,June,3_NE,4. Nestl. Day 12,42.463,-76.366,497,3,all 3 periods,-0.447,-2.331,-1.125,-1.416,-1.194,-1.347,-1.499,,,17,22.6,11.5,3.6,4.6,1.53,stn,USW00004725,BINGHAMTON,42.1997,-75.985,0.233,0.011,0.222,0.112,0.189,0.002,0.132,0.092,,,,,0.005,,,,,,,,,,,,,,0.008,,,"Olivia Rooney, Colleen Miller, Jennifer J. Uehling, Jennifer Houtz, Conor Taff","Dept. of Ecol. and Evol. Biol., Cornell Univ."
508,NY,Kinderhook,NY_Fowler_HawthorneValley,2020,NY_Kinderhook_2020,NY_Kinderhook_1,1,1,19,19,May,3_NE,2. Ave lay date,42.377,-73.703,69,3,all 3 periods,-0.287,-1.528,-2.273,-1.095,-0.842,-0.87,-1.678,,,12.7,21.3,4.1,2.6,0,0,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.099,0.086,0.013,0.238,0.429,0.02,0.402,0.06,,,,,,,,,,,,,,,,,,,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
509,NY,Kinderhook,NY_Fowler_HawthorneValley,2020,NY_Kinderhook_2020,NY_Kinderhook_1,1,1,38,7,June,3_NE,3. Ave hatch date,42.377,-73.703,69,3,all 3 periods,0.025,-2.176,-0.652,-1.083,-1.059,-0.288,-1.38,,,19.7,27.4,12,2.9,0,0,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.683,0.017,0.666,0.245,0.259,0.014,1.542,0.122,,,,,0.003,,,,0.001,,,,,,,,,0.006,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
510,NY,Kinderhook,NY_Fowler_HawthorneValley,2020,NY_Kinderhook_2020,NY_Kinderhook_1,1,1,50,19,June,3_NE,4. Nestl. Day 12,42.377,-73.703,69,3,all 3 periods,0.12,-1.353,-0.77,-1.018,-0.973,-0.197,-0.801,,,23.6,30.5,16.7,1.8,0,0,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.637,0.13,0.507,0.285,0.316,0.004,1.905,0.471,,0.006,,0.006,,0.021,,,,,0.003,,,,,,,,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
511,NY,Kinderhook,NY_Fowler_HawthorneValley,2021,NY_Kinderhook_2021,NY_Kinderhook_1,1,1,19,19,May,3_NE,2. Ave lay date,42.377,-73.703,69,3,all 3 periods,0.245,-1.745,-0.726,-1.004,-2.574,0.121,-1.796,,,19.5,28.3,10.7,1.7,0,0,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.612,0.051,0.561,0.294,0.005,0.05,3.958,0.045,,,,,0.012,,,,,,,,,,,,,,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
512,NY,Kinderhook,NY_Fowler_HawthorneValley,2021,NY_Kinderhook_2021,NY_Kinderhook_1,1,1,38,7,June,3_NE,3. Ave hatch date,42.377,-73.703,69,3,all 3 periods,0.003,-1.322,-0.683,-1.041,-0.568,-0.647,-1.796,,-1.322,23.7,30,17.4,1.8,4.3,1.43,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.76,0.14,0.62,0.27,0.808,,0.674,0.045,0.14,0.004,,,0.017,,,,,,,,,,,,,,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
513,NY,Kinderhook,NY_Fowler_HawthorneValley,2021,NY_Kinderhook_2021,NY_Kinderhook_1,1,1,50,19,June,3_NE,4. Nestl. Day 12,42.377,-73.703,69,3,all 3 periods,0.065,-1.986,-0.58,-0.754,-0.986,-0.478,-2.398,,-0.952,22.5,28.7,16.3,3.1,9.1,3.03,stn,USW00014763,PITTSFIELD MUNI AP,42.4272,-73.2892,0.814,0.028,0.786,0.525,0.307,0.009,0.995,0.009,0.332,,,,,,,,,,,,,,,,,,,,,Kendrick Fowler,Hawthorne Valley Farmscape Ecol. Program
514,NY,Marbletown,NY_Long_MohonkPres,2020,NY_Marbletown_2020,NY_Marbletown_1,1,1,21,21,May,3_NE,2. Ave lay date,41.796,-74.128,150,3,all 3 periods,-0.445,-1.864,-1.076,-1.959,-1.959,-0.871,-1.963,,,15.3,23.7,6.8,1.6,34.3,11.43,stn,USW00014757,POUGHKEEPSIE DUTCHESS CO AP,41.6267,-73.8842,0.287,0.038,0.249,0.03,0.03,,0.401,0.0297,,,,,,,,,,,,,,,,,,,,,,Elizabeth Long,Mohonk Preserve
515,NY,Marbletown,NY_Long_MohonkPres,2020,NY_Marbletown_2020,NY_Marbletown_1,1,1,39,8,June,3_NE,3. Ave hatch date,41.796,-74.128,150,3,all 3 periods,-0.126,-1.36,-0.795,-1.347,-0.858,-0.593,-1.909,,,21.2,30.2,12.2,1.9,0,0,stn,USW00014757,POUGHKEEPSIE DUTCHESS CO AP,41.6267,-73.8842,0.606,0.128,0.478,0.132,0.413,,0.762,0.034,,,,,,,,,,,,,,,,,,,,,,Elizabeth Long,Mohonk Preserve
516,NY,Marbletown,NY_Long_MohonkPres,2020,NY_Marbletown_2020,NY_Marbletown_1,1,1,52,21,June,3_NE,4. Nestl. Day 12,41.796,-74.128,150,3,all 3 periods,-0.208,-1.651,-0.877,-1.844,-0.78,-0.892,-1.205,,,25.7,32.8,18.7,2,0,0,stn,USW00014757,POUGHKEEPSIE DUTCHESS CO AP,41.6267,-73.8842,0.459,0.064,0.395,0.04,0.495,,0.382,0.184,,,,,,,,,,,,,,,,,,,,,,Elizabeth Long,Mohonk Preserve
517,ON,Bayham,ON_Barlow_BirdsCanada,2021,ON_Bayham_2021,ON_Bayham_Bolin,1,1,18,18,May,3_NE,2. Ave lay date,42.626,-80.731,197,3,,-0.72,,,-2.464,-2.875,-1.732,-2.212,,,21.1,27.2,15,2.6,0,0,stn,USW00014860,ERIE INTL AP,42.08,-80.1825,0.1951,,,0.0073,0.001,0.0007,0.0526,0.0154,,,,,,,,,,,,,,,,,,,0.0001,,,Natasha Barlow,Birds Canada
518,ON,Bayham,ON_Barlow_BirdsCanada,2021,ON_Bayham_2021,ON_Bayham_Bolin,1,1,32,1,June,3_NE,3. Ave hatch date,42.626,-80.731,197,3,,-0.182,,,,-1.706,-0.56,-2.254,,,18.9,22.6,15.2,2.8,4.3,1.4,stn,USW00014860,ERIE INTL AP,42.08,-80.1825,0.7708,,,,0.0561,0.0001,0.8234,0.0137,,,,,0.0096,,,,,,,,,,,,,,,,,Natasha Barlow,Birds Canada
519,ON,Bayham,ON_Barlow_BirdsCanada,2021,ON_Bayham_2021,ON_Bayham_Bolin,1,1,53,22,June,3_NE,1. Ave temp >65F,42.626,-80.731,197,3,,-0.293,,,-1.395,-1.677,-1.073,-1.237,-2.579,,18.3,23.5,13.2,4.4,0,0,stn,USW00014860,ERIE INTL AP,42.08,-80.1825,0.5976,,,0.1179,0.0601,0.0173,0.2505,0.1709,,,0.0049,,0.0096,,,,,,,,,,,,,,,,,Natasha Barlow,Birds Canada
520,ON,Bayham,ON_Barlow_BirdsCanada,2021,ON_Bayham_2021,ON_Bayham_Bolin,1,1,73,12,July,3_NE,,42.626,-80.731,197,3,,0.166,,,-1.342,-0.14,-1.024,-1.79,,,24.5,28.3,20.6,3.6,14.6,4.9,stn,USW00014860,ERIE INTL AP,42.08,-80.1825,0.7766,,,0.1335,2.1728,0.0062,0.2808,0.0457,,,,,0.683,,,,,,,,,,,,,,,,,Natasha Barlow,Birds Canada
521,ON,Chaffey's Locks,ON_Schoepf_QUBS,2019,ON_Chaffey's Locks_2019,ON_Chaffey's Locks_Cemetery,1,4,6,6,May,3_NE,1. last frost date,44.521,-76.386,135,3,,-0.721,-1.951,-2.145,-1.821,-2.316,-1.295,-2.778,-2.278,,9.4,14.4,3.6,3.3,1.4,1.8,Contributor Schoef QUBS Temp & Tot Rain; GHCN Stn for Ave WIND,USW00094790,WATERTOWN INTL AP,43.9922,-76.0217,0.0491,0.0306,0.0185,0.0423,0.0115,0.0031,0.1491,0.002,,,0.0128,,,,,,,,,,,,,,,,,,,"Ivana Schoepf, Stephen Lougheed","Dept. of Science, Univ. of Alberta - Augustana, and Dept. of Biology, Queen's Univ."
522,ON,Chaffey's Locks,ON_Schoepf_QUBS,2019,ON_Chaffey's Locks_2019,ON_Chaffey's Locks_Cemetery,1,4,9,9,May,3_NE,,44.521,-76.386,135,3,,-0.734,-1.996,-1.932,-1.736,-2.268,-1.668,,-1.901,,10.8,16.8,3.9,4.4,10.67,7.77,Contributor Schoef QUBS Temp & Tot Rain; GHCN Stn for Ave WIND,USW00094790,WATERTOWN INTL AP,43.9922,-76.0217,0.0594,0.0273,0.0321,0.0521,0.0132,0.0317,0.0615,,,,0.0347,,,,,,,,,,,,,,,,,,,"Ivana Schoepf, Stephen Lougheed","Dept. of Science, Univ. of Alberta - Augustana, and Dept. of Biology, Queen's Univ."
523,ON,Chaffey's Locks,ON_Schoepf_QUBS,2019,ON_Chaffey's Locks_2019,ON_Chaffey's Locks_Cemetery,1,4,12,12,May,3_NE,,44.521,-76.386,135,3,,-0.417,-1.672,-1.678,-1.229,-1.531,-1.809,,-0.847,,7.8,11.5,4.9,2.8,7.73,7.53,Contributor Schoef QUBS Temp & Tot Rain; GHCN Stn for Ave WIND,USW00094790,WATERTOWN INTL AP,43.9922,-76.0217,0.1208,0.0608,0.06,0.174,0.0854,,0.0436,,,,0.4238,,,,,,,,,,,,,,,,,,,"Ivana Schoepf, Stephen Lougheed","Dept. of Science, Univ. of Alberta - Augustana, and Dept. of Biology, Queen's Univ."
524,ON,Chaffey's Locks,ON_Schoepf_QUBS,2019,ON_Chaffey's Locks_2019,ON_Chaffey's Locks_Cemetery,1,4,15,15,May,3_NE,2. Ave lay date,44.521,-76.386,135,3,all 3 periods,-0.151,-1.902,-1.7,-2.319,-1.121,-0.772,-1.933,-0.516,,10,18.5,3.9,2.7,3.2,2.63,Contributor Schoef QUBS Temp & Tot Rain; GHCN Stn for Ave WIND,USW00094790,WATERTOWN INTL AP,43.9922,-76.0217,0.0915,0.0346,0.0569,0.0114,0.2241,0.047,0.5046,0.032,,,0.9106,,,,,,,,,,,,,,,,,,,"Ivana Schoepf, Stephen Lougheed","Dept. of Science, Univ. of Alberta - Augustana, and Dept. of Biology, Queen's Univ."
525,ON,Chaffey's Locks,ON_Schoepf_QUBS,2019,ON_Chaffey's Locks_2019,ON_Chaffey's Locks_Cemetery,1,4,18,18,May,3_NE,,44.521,-76.386,135,3,,-0.918,-2.972,-2.121,-2.34,-2.933,,,-1.944,,13,23.3,4.1,3.3,1.93,4,Contributor Schoef QUBS Temp & Tot Rain; GHCN Stn for Ave WIND,USW00094790,WATERTOWN INTL AP,43.9922,-76.0217,0.0199,0.0002,0.0197,0.0107,0.0005,,,,,,0.0311,,,,,,,,,,,,,,,,,,,"Ivana Schoepf, Stephen Lougheed","Dept. of Science, Univ. of Alberta - Augustana, and Dept. of Biology, Queen's Univ."
